1,-1,273.77,449.09,88.0,50.28,0.8
1,-1,439.37,340.51,94.86,64.0,0.8
1,-1,610.92,208.06,124.57,70.86,0.8
1,-1,599.37,443.37,99.43,60.57,0.8
1,-1,663.37,508.51,93.83,50.4,0.8
2,-1,266.91,449.09,93.73,57.15,0.8
2,-1,438.8,338.8,94.86,64.0,0.8
2,-1,610.34,207.63,124.58,70.86,0.8
2,-1,597.66,443.94,99.43,60.57,0.8
2,-1,659.94,508.23,93.83,50.4,0.8
3,-1,260.06,449.09,99.44,64.01,0.8
3,-1,438.23,337.09,94.86,64.0,0.8
3,-1,609.77,207.2,124.57,70.86,0.8
3,-1,595.94,444.51,99.43,60.58,0.8
3,-1,656.51,507.94,93.83,50.4,0.8
4,-1,256.06,447.37,99.44,64.02,0.8
4,-1,437.09,333.09,94.85,64.0,0.8
4,-1,609.2,206.77,124.57,70.86,0.8
4,-1,594.23,445.09,99.43,60.57,0.8
4,-1,653.09,507.66,93.83,50.4,0.8
5,-1,252.06,445.66,99.44,64.01,0.8
5,-1,435.94,329.09,94.86,64.0,0.8
5,-1,608.63,206.34,124.57,70.86,0.8
5,-1,592.52,445.66,99.42,60.57,0.8
5,-1,649.66,507.37,93.83,50.4,0.8
6,-1,247.49,446.8,99.44,64.01,0.8
6,-1,433.09,326.51,94.85,64.0,0.8
6,-1,608.06,205.92,124.57,70.85,0.8
6,-1,589.09,443.37,99.43,60.57,0.8
6,-1,645.94,508.51,93.83,50.4,0.8
7,-1,241.39,447.18,99.44,64.02,0.8
7,-1,430.23,323.94,94.86,64.0,0.8
7,-1,607.49,205.49,124.57,70.85,0.8
7,-1,585.66,441.09,99.43,60.57,0.8
7,-1,642.23,509.66,93.83,50.4,0.8
8,-1,235.3,447.56,99.44,64.02,0.8
8,-1,427.37,321.37,94.86,64.0,0.8
8,-1,606.92,205.06,124.57,70.86,0.8
8,-1,582.23,438.8,99.43,60.57,0.8
8,-1,638.52,510.8,93.82,50.4,0.8
9,-1,229.2,447.94,99.44,64.02,0.8
9,-1,424.51,318.8,94.86,64.0,0.8
9,-1,606.34,204.63,124.58,70.86,0.8
9,-1,578.8,436.51,99.43,60.58,0.8
9,-1,634.8,511.94,93.83,50.4,0.8
10,-1,226.06,445.94,99.44,64.02,0.8
10,-1,422.23,314.23,98.26,70.26,0.8
10,-1,604.06,201.2,124.57,70.86,0.8
10,-1,576.23,435.09,99.43,60.57,0.8
10,-1,632.8,511.94,93.83,50.4,0.8
11,-1,222.91,443.94,99.45,64.02,0.8
11,-1,419.94,309.66,101.67,76.53,0.8
11,-1,601.77,197.77,124.57,70.86,0.8
11,-1,573.66,433.66,99.43,60.57,0.8
11,-1,630.8,511.94,93.83,50.4,0.8
12,-1,219.77,441.94,99.44,64.02,0.8
12,-1,418.23,308.23,101.67,76.53,0.8
12,-1,599.49,194.34,124.57,70.86,0.8
12,-1,571.09,432.23,99.42,60.57,0.8
12,-1,628.8,511.94,93.83,50.4,0.8
13,-1,216.63,439.94,99.44,64.02,0.8
13,-1,416.51,306.8,101.68,76.53,0.8
13,-1,597.2,190.92,124.57,70.85,0.8
13,-1,568.51,430.8,99.43,60.57,0.8
13,-1,626.8,511.94,93.83,50.4,0.8
14,-1,215.49,435.37,99.44,64.02,0.8
14,-1,414.8,305.37,101.67,76.53,0.8
14,-1,601.2,186.34,124.57,70.86,0.8
14,-1,566.8,431.09,99.43,60.57,0.8
14,-1,623.37,509.66,93.83,50.4,0.8
15,-1,214.34,430.8,99.45,64.01,0.8
15,-1,413.09,303.94,101.67,76.53,0.8
15,-1,605.2,181.77,124.57,70.86,0.8
15,-1,565.09,431.37,99.42,60.57,0.8
15,-1,619.94,507.37,93.83,50.4,0.8
16,-1,209.77,426.23,99.44,64.01,0.8
16,-1,412.13,303.37,101.67,76.53,0.8
16,-1,605.77,178.34,124.57,70.86,0.8
16,-1,563.37,431.66,99.43,60.57,0.8
16,-1,616.51,505.09,93.83,50.4,0.8
17,-1,205.2,421.66,99.44,64.01,0.8
17,-1,411.18,302.8,101.67,76.53,0.8
17,-1,606.34,174.92,124.58,70.85,0.8
17,-1,561.66,431.94,99.43,60.57,0.8
17,-1,613.09,502.8,93.82,50.4,0.8
18,-1,199.49,418.23,99.44,64.01,0.8
18,-1,410.23,302.23,101.67,76.53,0.8
18,-1,607.77,177.77,124.57,70.86,0.8
18,-1,559.37,432.51,99.43,60.58,0.8
18,-1,609.09,501.09,93.82,50.4,0.8
19,-1,193.77,414.8,99.44,64.01,0.8
19,-1,409.28,301.66,101.67,76.53,0.8
19,-1,609.2,180.63,124.57,70.86,0.8
19,-1,557.08,433.09,99.43,60.57,0.8
19,-1,605.09,499.37,93.82,50.4,0.8
20,-1,189.77,419.37,99.44,64.02,0.8
20,-1,408.32,301.09,101.67,76.53,0.8
20,-1,610.63,183.49,124.57,70.85,0.8
20,-1,555.94,434.51,99.43,60.58,0.8
20,-1,602.8,500.8,93.83,50.4,0.8
21,-1,185.77,423.94,99.44,64.02,0.8
21,-1,407.37,300.52,101.67,76.52,0.8
21,-1,612.06,186.34,124.57,70.86,0.8
21,-1,554.8,435.94,99.43,60.57,0.8
21,-1,600.51,502.23,93.83,50.4,0.8
22,-1,179.49,424.51,99.44,64.02,0.8
22,-1,403.94,299.37,101.67,76.53,0.8
22,-1,612.25,187.68,124.57,70.85,0.8
22,-1,553.66,437.37,99.43,60.57,0.8
22,-1,598.23,503.66,93.83,50.4,0.8
23,-1,173.2,425.09,99.44,64.01,0.8
23,-1,400.51,298.23,101.67,76.53,0.8
23,-1,612.44,189.01,124.57,70.86,0.8
23,-1,552.51,438.8,99.43,60.57,0.8
23,-1,595.94,505.09,93.83,50.4,0.8
24,-1,172.38,423.45,99.45,64.02,0.8
24,-1,400.97,296.4,101.67,76.53,0.8
24,-1,612.63,190.34,124.57,70.86,0.8
24,-1,550.99,438.9,100.95,61.42,0.8
24,-1,592.8,507.94,98.11,54.11,0.8
25,-1,171.57,421.82,99.44,64.01,0.8
25,-1,401.43,294.57,101.67,76.53,0.8
25,-1,612.82,191.68,124.57,70.85,0.8
25,-1,549.46,438.99,102.48,62.29,0.8
25,-1,589.66,510.8,102.39,57.81,0.8
26,-1,170.75,420.19,99.44,64.01,0.8
26,-1,401.89,292.74,101.67,76.53,0.8
26,-1,613.01,193.01,124.57,70.86,0.8
26,-1,547.94,439.09,104.0,63.14,0.8
26,-1,586.51,513.66,106.68,61.51,0.8
27,-1,169.94,418.56,99.44,64.01,0.8
27,-1,402.34,290.92,101.67,76.52,0.8
27,-1,613.2,194.34,124.57,70.86,0.8
27,-1,546.41,439.18,105.53,64.0,0.8
27,-1,583.37,516.52,110.96,65.21,0.8
28,-1,169.12,416.92,99.44,64.02,0.8
28,-1,402.8,289.09,101.67,76.53,0.8
28,-1,613.53,191.74,126.53,72.15,0.8
28,-1,544.88,439.28,107.06,64.85,0.8
28,-1,581.77,516.06,110.96,65.21,0.8
